Drug Regimen,mean,median,variance,standard deviation,SEM
Capomulin,40.675741141,41.557808879999996,24.947764120254785,4.994773680584014,0.3293456234008305
Ceftamin,52.59117180960674,51.77615728,39.29017727327859,6.268187718414198,0.4698205327526109
Infubinol,52.88479510859551,51.82058438,43.1286841288361,6.567243267066943,0.4922356938011385
Ketapril,55.23563764047872,53.698742644999996,68.553577112446,8.279708757706759,0.6038598237739697
Naftisol,54.331564658333335,52.509284609999995,66.17347898736506,8.134708291473338,0.5964657512424234
Placebo,54.03358078635359,52.28893409,61.168082936697,7.821002681031186,0.5813305510593874
Propriva,52.393463384871794,50.909964985,43.13880349780107,6.568013664556513,0.5258619511360096
Ramicane,40.21674506671052,40.67323554,23.486703952095297,4.8463082807530204,0.3209546065084819
Stelasyn,54.23314911988951,52.43173664,59.450561673366,7.710419033578266,0.5731109332771458
Zoniferol,53.23650655159341,51.818479325,48.5333553893861,6.966588504381905,0.516397896833217
